Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
Very High,Very Low,3.0,Dry,clear,High Pressure,Extreme,Spring,6.5,inland,Sunny
Very Low,Low,13.5,Heavy Rain,partly cloudy,Low Pressure,Low,Winter,3.0,inland,Snowy
High,High,1.0,Light Rain,overcast,High Pressure,Moderate,Spring,5.5,mountain,Cloudy
Low,High,12.5,Moderate Rain,overcast,High Pressure,Moderate,Autumn,5.0,coastal,Rainy
Very Low,Low,15.0,Moderate Rain,partly cloudy,Low Pressure,Low,Winter,2.0,inland,Snowy
High,High,24.0,Heavy Rain,overcast,High Pressure,Extreme,Winter,2.0,coastal,Rainy
High,Low,3.0,Dry,clear,Very High Pressure,Extreme,Summer,10.0,inland,Sunny
Low,Low,7.5,Light Rain,overcast,Normal Pressure,Moderate,Winter,8.0,mountain,Cloudy
Very High,Very Low,1.5,Dry,partly cloudy,High Pressure,Extreme,Spring,6.5,mountain,Sunny
Low,Very High,16.0,Moderate Rain,overcast,High Pressure,Low,Autumn,4.0,inland,Rainy
Low,High,13.5,Dry,overcast,Normal Pressure,Moderate,Winter,7.5,mountain,Cloudy
Very Low,Low,13.0,Light Rain,partly cloudy,Low Pressure,Extreme,Summer,9.0,mountain,Snowy
High,Very Low,9.5,Dry,clear,Very High Pressure,Extreme,Autumn,8.0,inland,Sunny
Very High,Very Low,1.0,Dry,clear,Very High Pressure,Extreme,Spring,5.0,inland,Sunny
High,Low,7.0,Dry,clear,High Pressure,Extreme,Summer,9.5,coastal,Sunny
Very Low,Low,2.0,Moderate Rain,partly cloudy,Low Pressure,Low,Winter,3.0,inland,Snowy
High,High,17.5,Moderate Rain,overcast,Normal Pressure,Moderate,Autumn,3.0,coastal,Rainy
Very Low,Very High,20.0,Moderate Rain,overcast,Very low Pressure,Low,Winter,4.0,inland,Snowy
High,High,16.5,Heavy Rain,partly cloudy,Normal Pressure,Low,Spring,4.0,coastal,Rainy
High,High,19.0,Moderate Rain,partly cloudy,Low Pressure,Moderate,Autumn,5.0,inland,Rainy
High,High,18.0,Moderate Rain,overcast,Low Pressure,Low,Spring,3.0,coastal,Rainy
High,High,10.0,Heavy Rain,overcast,High Pressure,Moderate,Summer,1.0,inland,Rainy
Low,Low,11.5,Moderate Rain,overcast,Low Pressure,Moderate,Spring,1.5,mountain,Rainy
Very High,Very Low,3.5,Dry,clear,High Pressure,Extreme,Summer,5.0,coastal,Sunny
Very Low,Very High,3.5,Moderate Rain,partly cloudy,Very low Pressure,Low,Winter,1.0,inland,Snowy
High,Low,8.5,Dry,overcast,High Pressure,Low,Winter,9.0,coastal,Cloudy
High,Very Low,9.5,Dry,clear,High Pressure,Extreme,Spring,5.0,inland,Sunny
High,High,13.0,Light Rain,overcast,High Pressure,Moderate,Autumn,5.5,coastal,Cloudy
Low,High,6.0,Heavy Rain,partly cloudy,High Pressure,Moderate,Winter,5.0,mountain,Rainy
Low,High,36.5,Moderate Rain,overcast,Normal Pressure,Moderate,Summer,1.0,mountain,Rainy
Very Low,High,3.0,Heavy Rain,overcast,Low Pressure,Low,Winter,1.0,inland,Snowy
Very Low,High,3.0,Moderate Rain,overcast,Low Pressure,Low,Winter,2.0,mountain,Snowy
High,High,19.0,Moderate Rain,partly cloudy,Low Pressure,Moderate,Summer,3.0,mountain,Rainy
Very High,Very Low,3.5,Dry,clear,High Pressure,Extreme,Spring,6.5,coastal,Sunny
Very High,Low,8.0,Dry,clear,Very High Pressure,Extreme,Autumn,9.5,mountain,Sunny
Very Low,Low,4.5,Moderate Rain,partly cloudy,Very low Pressure,Low,Winter,4.0,mountain,Snowy
Very Low,Very High,6.5,Heavy Rain,overcast,Low Pressure,Low,Winter,2.0,mountain,Snowy
Very Low,Very High,14.0,Moderate Rain,partly cloudy,Very low Pressure,Low,Winter,2.5,inland,Snowy
Very High,Low,8.0,Dry,clear,Very High Pressure,Extreme,Winter,9.0,inland,Sunny
High,Low,2.5,Light Rain,partly cloudy,Normal Pressure,Moderate,Winter,8.5,coastal,Cloudy
Low,Very High,5.5,Heavy Rain,partly cloudy,Low Pressure,Low,Winter,2.0,inland,Rainy
High,High,6.0,Dry,overcast,High Pressure,High,Winter,7.5,inland,Cloudy
Very High,Very Low,9.5,Dry,clear,High Pressure,Extreme,Summer,8.5,mountain,Sunny
Very Low,Very High,5.5,Moderate Rain,overcast,Very low Pressure,Low,Winter,1.5,mountain,Snowy
High,High,42.0,Heavy Rain,overcast,Normal Pressure,Low,Winter,3.5,inland,Rainy
High,Low,1.5,Dry,partly cloudy,Very High Pressure,Extreme,Autumn,7.5,mountain,Sunny
High,High,36.0,Heavy Rain,partly cloudy,Low Pressure,Moderate,Winter,3.5,mountain,Rainy
Very High,Low,4.0,Light Rain,overcast,High Pressure,Moderate,Spring,5.0,inland,Cloudy
High,Low,0.0,Light Rain,partly cloudy,Low Pressure,Low,Winter,5.5,inland,Cloudy
Very Low,High,37.5,Moderate Rain,partly cloudy,Very low Pressure,Extreme,Winter,2.0,inland,Snowy
Very Low,Very High,5.0,Heavy Rain,partly cloudy,Low Pressure,Low,Winter,4.5,inland,Snowy
Low,High,7.5,Heavy Rain,partly cloudy,High Pressure,Low,Spring,2.5,mountain,Rainy
Very High,Low,8.5,Dry,clear,High Pressure,Extreme,Summer,9.5,coastal,Sunny
High,High,12.0,Moderate Rain,overcast,Low Pressure,Moderate,Spring,1.5,coastal,Rainy
Very Low,Low,12.0,Moderate Rain,overcast,Low Pressure,Low,Winter,4.0,mountain,Snowy
Very Low,Very Low,3.5,Light Rain,overcast,Very High Pressure,High,Summer,14.5,coastal,Sunny
High,High,12.0,Heavy Rain,partly cloudy,High Pressure,Extreme,Autumn,4.5,coastal,Cloudy
High,Low,3.5,Light Rain,partly cloudy,Normal Pressure,High,Summer,9.0,inland,Cloudy
Low,Low,13.5,Light Rain,partly cloudy,Normal Pressure,Moderate,Summer,7.5,coastal,Cloudy
Very High,Very Low,3.5,Dry,clear,High Pressure,Extreme,Autumn,8.5,inland,Sunny
Low,High,11.5,Light Rain,overcast,Normal Pressure,High,Summer,7.0,coastal,Cloudy
Very High,Low,6.5,Dry,partly cloudy,High Pressure,Extreme,Spring,8.0,inland,Sunny
Very Low,Very High,7.0,Moderate Rain,overcast,Very low Pressure,Low,Winter,3.5,inland,Snowy
Low,Very High,20.0,Heavy Rain,overcast,High Pressure,Low,Winter,4.5,coastal,Rainy
Very High,High,19.0,Heavy Rain,overcast,Normal Pressure,Low,Spring,4.0,coastal,Rainy
Very Low,High,6.0,Heavy Rain,overcast,Low Pressure,Low,Winter,4.0,inland,Snowy
Very Low,Very High,2.0,Heavy Rain,overcast,Low Pressure,Low,Winter,3.0,inland,Snowy
Low,Low,0.0,Light Rain,partly cloudy,High Pressure,Moderate,Summer,6.0,inland,Cloudy
High,High,16.0,Moderate Rain,partly cloudy,High Pressure,Low,Autumn,2.0,coastal,Rainy
High,Low,9.5,Light Rain,overcast,High Pressure,High,Summer,5.5,mountain,Cloudy
Very Low,High,1.5,Moderate Rain,overcast,Low Pressure,Low,Winter,3.5,mountain,Snowy
Low,Low,5.5,Dry,partly cloudy,Normal Pressure,Low,Winter,7.0,coastal,Cloudy
Very Low,High,4.0,Moderate Rain,overcast,Low Pressure,Low,Winter,4.5,inland,Snowy
Low,High,7.5,Moderate Rain,partly cloudy,Normal Pressure,Moderate,Spring,2.0,mountain,Rainy
High,High,19.5,Heavy Rain,overcast,Normal Pressure,Low,Spring,4.0,mountain,Rainy
Very Low,Very High,16.0,Heavy Rain,partly cloudy,Very low Pressure,Low,Winter,1.5,mountain,Snowy
Low,Very High,9.5,Moderate Rain,partly cloudy,Low Pressure,Low,Spring,4.5,mountain,Rainy
Very Low,Very High,15.0,Heavy Rain,overcast,Low Pressure,Low,Winter,2.5,inland,Snowy
Very Low,Very High,12.0,Heavy Rain,overcast,Very low Pressure,Low,Winter,3.5,mountain,Snowy
Very High,Low,3.0,Dry,clear,Normal Pressure,Extreme,Summer,6.0,coastal,Sunny
High,Very High,20.0,Heavy Rain,overcast,Normal Pressure,High,Winter,0.5,coastal,Rainy
Very Low,Very High,12.5,Heavy Rain,overcast,Low Pressure,Low,Winter,1.0,inland,Snowy
Low,High,7.0,Light Rain,overcast,High Pressure,Moderate,Autumn,6.5,coastal,Cloudy
Low,Very High,7.5,Heavy Rain,partly cloudy,Normal Pressure,Low,Spring,1.0,coastal,Rainy
Low,Very High,12.5,Heavy Rain,partly cloudy,High Pressure,Low,Winter,1.5,inland,Rainy
Low,Very High,12.5,Heavy Rain,overcast,High Pressure,Moderate,Autumn,1.0,coastal,Rainy
High,Very Low,6.5,Dry,partly cloudy,High Pressure,Extreme,Winter,6.0,coastal,Sunny
Low,Low,2.0,Light Rain,partly cloudy,High Pressure,Low,Autumn,8.5,inland,Cloudy
High,High,12.0,Light Rain,partly cloudy,Normal Pressure,Moderate,Spring,6.5,mountain,Cloudy
Very Low,Very High,19.5,Heavy Rain,overcast,Very low Pressure,Low,Winter,4.0,mountain,Snowy
Very High,High,5.5,Moderate Rain,overcast,Low Pressure,Moderate,Winter,5.0,inland,Rainy
High,Low,17.5,Heavy Rain,overcast,High Pressure,Low,Spring,1.5,inland,Rainy
Very Low,Very High,10.0,Light Rain,overcast,Low Pressure,Low,Winter,4.5,inland,Snowy
High,Very Low,0.5,Dry,clear,Normal Pressure,Extreme,Winter,9.5,inland,Sunny
Very High,Low,2.0,Dry,clear,High Pressure,Extreme,Spring,5.5,coastal,Sunny
Very Low,Very High,14.0,Heavy Rain,overcast,Very low Pressure,Low,Winter,3.5,inland,Snowy
Very Low,Very High,10.5,Heavy Rain,overcast,Low Pressure,Low,Winter,4.0,inland,Snowy
Very Low,Very High,13.5,Light Rain,partly cloudy,Low Pressure,Low,Winter,4.0,inland,Snowy
Low,High,12.5,Light Rain,overcast,High Pressure,Moderate,Summer,7.0,coastal,Cloudy
High,Very High,9.0,Moderate Rain,overcast,High Pressure,Moderate,Spring,5.0,inland,Rainy
High,High,9.0,Heavy Rain,overcast,High Pressure,Moderate,Autumn,1.5,inland,Rainy
Very High,High,17.0,Heavy Rain,overcast,High Pressure,High,Autumn,0.0,inland,Rainy
Very High,High,13.0,Moderate Rain,cloudy,Very low Pressure,High,Autumn,12.5,inland,Snowy
Very Low,Very High,13.0,Moderate Rain,overcast,Low Pressure,Extreme,Winter,0.5,inland,Snowy
Very Low,High,18.0,Heavy Rain,overcast,Low Pressure,Low,Winter,1.0,inland,Snowy
Very High,Very High,19.0,Moderate Rain,overcast,Low Pressure,Moderate,Winter,2.0,coastal,Rainy
High,High,10.5,Light Rain,partly cloudy,High Pressure,Low,Spring,8.5,inland,Cloudy
Low,Very Low,5.0,Dry,clear,Very High Pressure,Extreme,Autumn,8.0,inland,Sunny
Low,High,13.0,Light Rain,partly cloudy,Normal Pressure,Moderate,Winter,8.5,coastal,Cloudy
Very Low,Very High,19.5,Moderate Rain,overcast,Low Pressure,Low,Winter,5.0,mountain,Snowy
High,Low,3.5,Light Rain,overcast,High Pressure,High,Winter,9.0,inland,Cloudy
Low,Very Low,7.5,Dry,clear,High Pressure,Extreme,Winter,5.5,inland,Sunny
Very High,Low,8.0,Dry,clear,High Pressure,Extreme,Autumn,5.5,coastal,Sunny
High,High,15.0,Moderate Rain,overcast,High Pressure,Low,Summer,4.0,mountain,Rainy
Very High,Low,8.5,Dry,partly cloudy,High Pressure,Extreme,Autumn,7.0,inland,Sunny
High,Very High,15.5,Heavy Rain,overcast,Low Pressure,Low,Winter,1.5,inland,Rainy
Very High,Very High,15.0,Heavy Rain,partly cloudy,Normal Pressure,Moderate,Winter,4.5,coastal,Rainy
High,High,13.5,Heavy Rain,overcast,Normal Pressure,Low,Autumn,1.0,mountain,Rainy
High,Low,7.5,Dry,clear,High Pressure,Extreme,Autumn,9.0,coastal,Sunny
Very High,Very Low,3.0,Dry,partly cloudy,Normal Pressure,High,Autumn,6.0,inland,Sunny
Very High,Low,6.0,Dry,clear,Normal Pressure,Extreme,Autumn,10.0,inland,Sunny
High,High,19.0,Moderate Rain,overcast,Normal Pressure,Low,Autumn,3.5,inland,Rainy
Low,Low,7.5,Moderate Rain,partly cloudy,Normal Pressure,Moderate,Spring,5.0,inland,Rainy
Very High,Very Low,0.5,Dry,clear,Very High Pressure,Extreme,Winter,5.5,mountain,Sunny
Low,High,11.0,Dry,partly cloudy,High Pressure,High,Summer,8.5,inland,Cloudy
Low,Low,6.0,Light Rain,partly cloudy,Normal Pressure,Moderate,Summer,6.0,coastal,Cloudy
High,Low,8.0,Dry,clear,Very High Pressure,High,Summer,8.0,coastal,Sunny
Low,High,11.5,Light Rain,partly cloudy,High Pressure,Moderate,Spring,6.5,mountain,Cloudy
Very Low,High,7.0,Dry,cloudy,Very low Pressure,Extreme,Autumn,9.0,coastal,Sunny
Low,Very High,17.0,Heavy Rain,overcast,Normal Pressure,Low,Autumn,1.0,coastal,Rainy
Very Low,Very High,6.5,Light Rain,overcast,Low Pressure,Low,Winter,3.0,inland,Snowy
High,High,5.5,Moderate Rain,partly cloudy,High Pressure,Extreme,Winter,20.0,inland,Snowy
Very Low,Low,18.5,Heavy Rain,overcast,Very low Pressure,Low,Winter,3.0,inland,Snowy
Very High,Low,8.5,Dry,clear,Very High Pressure,High,Autumn,9.5,coastal,Sunny
High,Low,13.5,Dry,overcast,High Pressure,High,Autumn,8.0,mountain,Cloudy
Low,Low,4.0,Dry,clear,High Pressure,Extreme,Autumn,6.5,inland,Sunny
High,High,12.5,Light Rain,overcast,Normal Pressure,Moderate,Summer,2.5,coastal,Rainy
Low,Low,14.5,Heavy Rain,overcast,Normal Pressure,Moderate,Autumn,1.5,mountain,Rainy
High,Low,1.0,Dry,clear,High Pressure,High,Spring,6.5,mountain,Sunny
Very Low,High,4.0,Moderate Rain,overcast,Low Pressure,Low,Winter,1.5,mountain,Snowy
Very Low,High,10.5,Heavy Rain,partly cloudy,Very low Pressure,Low,Winter,3.5,inland,Snowy
High,High,15.0,Light Rain,overcast,Normal Pressure,Low,Summer,5.5,coastal,Cloudy
Low,Low,7.0,Light Rain,overcast,Low Pressure,Moderate,Spring,8.0,inland,Cloudy
Low,Very Low,6.0,Dry,clear,Very High Pressure,Extreme,Summer,8.5,coastal,Sunny
High,High,18.5,Heavy Rain,overcast,Normal Pressure,Moderate,Winter,2.5,coastal,Rainy
Low,Very Low,1.5,Dry,clear,High Pressure,High,Spring,9.5,mountain,Sunny
Low,Very High,18.0,Heavy Rain,overcast,Low Pressure,Moderate,Autumn,2.5,inland,Rainy
Low,Very High,12.5,Heavy Rain,overcast,High Pressure,Moderate,Winter,4.5,mountain,Rainy
High,Very Low,2.5,Dry,clear,Very High Pressure,Extreme,Spring,6.0,coastal,Sunny
High,High,9.5,Dry,partly cloudy,Normal Pressure,Moderate,Summer,7.0,inland,Cloudy
High,High,7.5,Moderate Rain,partly cloudy,Normal Pressure,High,Spring,6.0,inland,Cloudy
High,High,5.0,Light Rain,partly cloudy,High Pressure,Low,Autumn,8.0,coastal,Cloudy
Very High,High,18.0,Moderate Rain,overcast,Normal Pressure,Low,Summer,4.0,coastal,Rainy
Low,Low,4.5,Light Rain,overcast,Normal Pressure,Moderate,Winter,5.0,inland,Cloudy
Low,Very High,19.0,Moderate Rain,partly cloudy,High Pressure,Low,Spring,4.5,mountain,Rainy
Very High,Very High,18.0,Moderate Rain,partly cloudy,Low Pressure,Moderate,Spring,1.0,mountain,Rainy
High,High,9.5,Dry,partly cloudy,High Pressure,Moderate,Spring,5.0,mountain,Cloudy
High,Low,14.5,Dry,overcast,Normal Pressure,Moderate,Winter,8.0,coastal,Cloudy
High,Very High,27.5,Heavy Rain,overcast,Normal Pressure,Moderate,Spring,1.5,inland,Rainy
High,High,16.5,Moderate Rain,clear,High Pressure,High,Spring,11.5,coastal,Sunny
High,High,16.5,Heavy Rain,overcast,Normal Pressure,Low,Autumn,1.5,inland,Rainy
Low,High,10.5,Moderate Rain,overcast,Normal Pressure,Low,Winter,2.5,mountain,Rainy
Very High,Very Low,7.0,Dry,partly cloudy,Very High Pressure,Extreme,Spring,13.5,coastal,Sunny
Very Low,Very High,20.0,Light Rain,overcast,Low Pressure,Low,Winter,4.0,inland,Snowy
High,Low,3.0,Dry,clear,Very High Pressure,Extreme,Autumn,7.0,coastal,Sunny
Very High,Low,2.5,Dry,partly cloudy,High Pressure,Moderate,Summer,7.5,coastal,Cloudy
Very Low,Low,9.0,Heavy Rain,partly cloudy,Very low Pressure,Moderate,Summer,19.5,coastal,Cloudy
Very Low,Low,13.5,Heavy Rain,overcast,Low Pressure,Low,Winter,1.5,inland,Snowy
Very High,Very Low,4.0,Dry,clear,High Pressure,High,Summer,9.5,mountain,Sunny
High,Low,9.0,Light Rain,partly cloudy,Low Pressure,Moderate,Winter,8.0,inland,Cloudy
Very Low,Very High,15.0,Heavy Rain,overcast,Low Pressure,Low,Winter,2.0,inland,Snowy
Very High,Very Low,8.5,Dry,partly cloudy,Very High Pressure,Extreme,Spring,7.0,inland,Sunny
Very High,Low,1.0,Dry,partly cloudy,High Pressure,Extreme,Winter,5.5,mountain,Sunny
High,Very High,7.5,Moderate Rain,overcast,Normal Pressure,Low,Autumn,3.0,mountain,Rainy
Low,High,9.0,Heavy Rain,overcast,Normal Pressure,Moderate,Autumn,4.0,coastal,Rainy
High,Very High,17.0,Moderate Rain,overcast,Normal Pressure,Moderate,Spring,2.5,coastal,Rainy
Very High,Low,8.5,Dry,partly cloudy,Very High Pressure,High,Spring,6.5,coastal,Sunny
Low,Low,10.5,Light Rain,overcast,High Pressure,Low,Winter,7.0,inland,Cloudy
Very High,High,3.0,Dry,overcast,Normal Pressure,Moderate,Autumn,5.5,inland,Cloudy
Very Low,High,16.5,Moderate Rain,partly cloudy,Very low Pressure,Low,Winter,2.5,inland,Snowy
Low,Low,2.0,Light Rain,partly cloudy,High Pressure,Moderate,Autumn,5.5,mountain,Cloudy
Very Low,Low,1.0,Moderate Rain,overcast,Very low Pressure,Low,Winter,2.5,mountain,Snowy
Low,Low,10.0,Light Rain,partly cloudy,Normal Pressure,Low,Autumn,7.5,coastal,Cloudy
Very Low,Very High,2.0,Moderate Rain,overcast,Very low Pressure,Low,Winter,4.5,inland,Snowy
High,Low,2.5,Light Rain,partly cloudy,High Pressure,Low,Summer,6.5,coastal,Cloudy
High,High,4.0,Dry,partly cloudy,High Pressure,Low,Autumn,5.0,coastal,Cloudy
Very High,Low,1.0,Dry,clear,High Pressure,High,Winter,5.5,coastal,Sunny
High,High,7.5,Moderate Rain,partly cloudy,Low Pressure,Low,Autumn,4.5,mountain,Rainy
Low,Low,12.5,Light Rain,overcast,High Pressure,Moderate,Summer,7.5,mountain,Cloudy
Very Low,Low,7.5,Moderate Rain,overcast,Very low Pressure,Low,Winter,2.0,inland,Snowy
High,High,6.0,Light Rain,partly cloudy,Normal Pressure,Low,Summer,8.5,inland,Cloudy
Very High,Very Low,2.0,Dry,partly cloudy,High Pressure,Extreme,Spring,5.5,mountain,Sunny
Very Low,High,11.5,Moderate Rain,overcast,Low Pressure,Low,Winter,4.5,inland,Snowy
High,High,7.5,Light Rain,partly cloudy,Normal Pressure,Moderate,Winter,6.5,coastal,Cloudy
Low,Very High,13.0,Light Rain,partly cloudy,Normal Pressure,Moderate,Autumn,4.5,coastal,Rainy
Very High,High,8.0,Dry,clear,High Pressure,Extreme,Winter,9.5,inland,Sunny
Very High,Very Low,1.5,Dry,partly cloudy,High Pressure,Extreme,Winter,8.5,mountain,Sunny
Very Low,Very High,4.0,Moderate Rain,overcast,Low Pressure,Low,Winter,2.0,mountain,Snowy
Low,Very High,6.5,Moderate Rain,overcast,High Pressure,Moderate,Spring,2.5,mountain,Rainy
Very Low,High,17.0,Light Rain,overcast,Very low Pressure,Low,Winter,2.0,mountain,Snowy
Very Low,High,12.5,Moderate Rain,overcast,Very low Pressure,Low,Winter,1.5,inland,Snowy
Very Low,Very High,0.0,Heavy Rain,overcast,Very low Pressure,Low,Winter,4.5,mountain,Snowy
Very Low,Very High,13.0,Heavy Rain,overcast,Very low Pressure,Low,Winter,2.0,inland,Snowy
Very High,Low,7.5,Dry,clear,High Pressure,Extreme,Summer,5.0,mountain,Sunny
High,Very High,18.5,Light Rain,overcast,Normal Pressure,Low,Winter,2.0,inland,Rainy
Very Low,Low,10.5,Moderate Rain,overcast,Very low Pressure,Low,Winter,3.5,mountain,Snowy
Low,Low,16.0,Heavy Rain,overcast,Low Pressure,Low,Autumn,2.0,coastal,Rainy
High,Very Low,6.5,Dry,clear,High Pressure,High,Autumn,7.0,coastal,Sunny
High,Very High,18.5,Heavy Rain,partly cloudy,High Pressure,Low,Summer,3.5,inland,Cloudy
Very High,Low,9.0,Dry,clear,Very High Pressure,High,Spring,9.5,inland,Sunny
High,Very Low,1.0,Dry,partly cloudy,Very High Pressure,Extreme,Summer,7.5,coastal,Sunny
Very Low,Very High,3.5,Light Rain,overcast,Very low Pressure,Low,Winter,3.0,inland,Snowy
Very Low,High,4.0,Heavy Rain,overcast,Very low Pressure,Low,Winter,4.0,mountain,Snowy
Low,Low,7.0,Dry,partly cloudy,High Pressure,Moderate,Winter,6.0,coastal,Cloudy
Very Low,High,12.0,Light Rain,overcast,Very low Pressure,Low,Winter,3.0,inland,Snowy
Very Low,High,13.0,Moderate Rain,overcast,Very low Pressure,Low,Winter,1.0,inland,Snowy
Low,High,11.0,Moderate Rain,overcast,High Pressure,Moderate,Autumn,4.5,coastal,Rainy
High,Low,9.5,Dry,overcast,Normal Pressure,Moderate,Winter,6.5,inland,Cloudy
Very High,Low,8.0,Dry,clear,High Pressure,Extreme,Autumn,5.5,mountain,Sunny
High,Low,8.0,Dry,partly cloudy,High Pressure,High,Spring,5.5,mountain,Sunny
Very Low,High,8.5,Moderate Rain,overcast,Very low Pressure,Low,Winter,2.5,mountain,Snowy
Very Low,Very High,13.0,Heavy Rain,partly cloudy,Very low Pressure,Low,Winter,4.5,mountain,Snowy
Very Low,Very High,9.0,Moderate Rain,overcast,Low Pressure,Low,Winter,3.0,inland,Snowy
Very High,Very High,12.5,Moderate Rain,overcast,High Pressure,Low,Spring,2.0,inland,Rainy
High,Low,14.5,Light Rain,partly cloudy,High Pressure,Moderate,Autumn,8.0,coastal,Cloudy
Low,Low,2.5,Light Rain,overcast,High Pressure,High,Spring,8.0,inland,Cloudy
Low,Very Low,5.5,Dry,clear,High Pressure,High,Winter,5.5,mountain,Sunny
Very Low,High,17.0,Moderate Rain,overcast,Very low Pressure,Low,Winter,3.0,inland,Snowy
Very Low,Very High,15.5,Light Rain,overcast,Low Pressure,Low,Winter,4.5,inland,Snowy
Very Low,Low,9.5,Heavy Rain,partly cloudy,Low Pressure,Low,Winter,1.5,mountain,Snowy
Very High,Low,6.5,Dry,clear,High Pressure,High,Summer,7.0,coastal,Sunny
High,High,14.0,Dry,partly cloudy,Normal Pressure,Moderate,Autumn,8.0,inland,Cloudy
Low,Low,3.5,Dry,clear,Very High Pressure,Extreme,Autumn,7.5,inland,Sunny
High,Low,9.5,Dry,overcast,High Pressure,Low,Winter,5.5,coastal,Cloudy
Very High,Very Low,6.5,Dry,partly cloudy,High Pressure,High,Spring,7.5,mountain,Sunny
Very High,High,3.5,Light Rain,overcast,High Pressure,Moderate,Winter,7.5,coastal,Cloudy
Low,Low,13.5,Dry,overcast,Normal Pressure,Moderate,Summer,6.5,coastal,Cloudy
Low,Low,15.5,Moderate Rain,overcast,High Pressure,Moderate,Summer,4.5,mountain,Rainy
Very High,Very Low,8.0,Dry,clear,High Pressure,Extreme,Summer,6.5,coastal,Sunny
Low,Very High,10.0,Moderate Rain,overcast,High Pressure,Low,Autumn,5.0,mountain,Rainy
Low,High,10.5,Moderate Rain,overcast,High Pressure,Low,Winter,2.0,coastal,Rainy
High,High,16.0,Heavy Rain,overcast,Normal Pressure,Low,Summer,2.0,inland,Rainy
High,Low,6.0,Dry,partly cloudy,Normal Pressure,Moderate,Winter,7.0,mountain,Cloudy
High,Low,0.5,Dry,partly cloudy,High Pressure,Extreme,Summer,6.5,inland,Sunny
Low,Low,2.0,Light Rain,partly cloudy,Normal Pressure,High,Autumn,8.0,inland,Cloudy
Very Low,Very High,3.0,Heavy Rain,overcast,Low Pressure,Low,Winter,4.0,mountain,Snowy
High,Very Low,2.0,Dry,partly cloudy,Very High Pressure,Extreme,Spring,10.0,mountain,Sunny
Very High,Very Low,4.0,Dry,clear,Very High Pressure,Extreme,Summer,5.5,inland,Sunny
Low,Very High,17.5,Light Rain,overcast,High Pressure,Low,Summer,2.0,mountain,Rainy
High,Very Low,7.5,Dry,clear,Very High Pressure,High,Autumn,6.5,inland,Sunny
High,High,6.0,Light Rain,overcast,Normal Pressure,Low,Winter,8.0,mountain,Cloudy
Very Low,Very High,3.0,Moderate Rain,overcast,Low Pressure,Low,Winter,1.5,mountain,Snowy
Low,Low,17.0,Heavy Rain,overcast,Low Pressure,Moderate,Spring,3.5,coastal,Rainy
Very High,High,10.5,Moderate Rain,partly cloudy,Normal Pressure,Extreme,Summer,9.5,coastal,Cloudy
High,Low,16.5,Moderate Rain,overcast,Normal Pressure,Moderate,Winter,5.0,coastal,Rainy
Low,Very High,31.5,Heavy Rain,overcast,High Pressure,Extreme,Autumn,3.0,mountain,Rainy
Low,High,18.5,Light Rain,overcast,High Pressure,Low,Autumn,1.5,coastal,Rainy
Very Low,Low,4.5,Moderate Rain,partly cloudy,Very low Pressure,Low,Winter,4.0,mountain,Snowy
Very Low,Very High,3.5,Moderate Rain,overcast,Very low Pressure,Low,Winter,5.0,inland,Snowy
Low,Low,17.0,Moderate Rain,partly cloudy,Normal Pressure,Moderate,Spring,2.5,mountain,Rainy
Very High,High,6.5,Dry,clear,Very High Pressure,Extreme,Winter,8.0,coastal,Sunny
Very Low,Very High,17.5,Heavy Rain,overcast,Low Pressure,Low,Winter,3.5,inland,Snowy
Very Low,High,10.0,Light Rain,overcast,Very low Pressure,Low,Winter,5.0,mountain,Snowy
Very High,Low,9.5,Dry,clear,High Pressure,Extreme,Autumn,7.5,coastal,Sunny
Very High,High,27.5,Heavy Rain,overcast,Normal Pressure,Low,Winter,8.0,mountain,Cloudy
High,Very Low,1.0,Dry,clear,High Pressure,Extreme,Winter,8.5,mountain,Sunny
Very High,Low,2.5,Dry,clear,Very High Pressure,Extreme,Spring,7.0,coastal,Sunny
Very Low,High,6.0,Moderate Rain,partly cloudy,Low Pressure,Low,Winter,4.5,inland,Snowy
Very Low,High,7.0,Heavy Rain,overcast,Low Pressure,Low,Winter,3.0,inland,Snowy
Low,High,2.5,Light Rain,partly cloudy,High Pressure,Moderate,Spring,7.0,mountain,Cloudy
High,Very Low,8.0,Dry,clear,Very High Pressure,Extreme,Spring,6.0,inland,Sunny
Very Low,Very High,4.5,Light Rain,overcast,Low Pressure,Low,Winter,3.5,inland,Snowy
Very Low,High,9.5,Moderate Rain,overcast,Low Pressure,Low,Winter,3.5,mountain,Snowy
Very High,Very Low,6.0,Dry,clear,High Pressure,Extreme,Autumn,6.0,coastal,Sunny
Very High,Low,11.5,Light Rain,partly cloudy,High Pressure,Moderate,Autumn,8.0,coastal,Cloudy
Very Low,Very High,8.5,Moderate Rain,overcast,Very low Pressure,Low,Winter,2.0,mountain,Snowy
Very Low,Low,14.0,Moderate Rain,overcast,Very low Pressure,Low,Winter,3.0,inland,Snowy
Very Low,Very High,4.5,Heavy Rain,overcast,Very low Pressure,Low,Winter,2.5,inland,Snowy
Low,Low,3.5,Dry,partly cloudy,High Pressure,Moderate,Spring,8.5,inland,Cloudy
High,Low,3.5,Light Rain,partly cloudy,Normal Pressure,Low,Winter,8.0,inland,Cloudy
